BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	L051	L066	L089	L039	L079	L001	L011	L063	L069	L077	L108	L117	L118	L006	L111	L002	L018	L041	L104	L060	L065	L099	L102	L105	L115	L043	L044	L056	L057	L062	L064	L081	L082	L083	L086	L091	NL057	L093	L098	L096	L101	L106	L114	L116	L109	NL005	NL007	NL019	NL018	NL022	NL023	NL040	NL048	NL049	NL050	NL058	NL059	NL073	NL074	NL064	NL069	NL070	NL071	NL034	NL055	NL087	NL090	NL091	NL093	NL099	NL100	NL101	NL102	NL105	NL108	NL114	NL125	NL119	NL121	NL122	NL128	NL129	NL130	NL131	NL132
acesulfame	Xenobiotics	Food Component/Plant	0.0351	0.1068	0.0351	4.4929	0.0351	0.1064	2.7275	21.9866	0.4977	3.8836	4.5514	0.0351	0.0351	0.6970	0.0351	0.0850	174.9193	0.0351	24.5695	9.2062	0.0351	0.0351	0.0351	7.0460	5.0148	0.0351	0.0804	0.0417	0.0351	0.1717	0.8357	0.1076	0.0351	3.0209	0.0351	0.0760	0.0351	3.6075	1.2023	0.0351	0.0351	0.0646	0.0351	0.0351	0.3617	0.0351	0.0351	0.0351	0.0351	0.0957	0.0351	43.2006	1.5356	25.5890	0.0351	0.0351	0.2336	2.3677	0.2415	3.6438	0.0351	0.0351	0.0351	0.1034	0.0351	0.0748	1.7048	0.0351	0.0351	0.0351	0.0351	0.0351	0.0351	1.1643	0.0351	0.0351	0.1047	0.0351	0.0351	0.0538	6.4030	0.0351	0.0351	0.0351	0.0351
acetylcarnitine (C2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	1.3066	0.1695	0.0728	0.0728	0.9623	0.0728	13.5820	0.2480	0.9532	0.6893	0.8046	0.5849	0.0728	2.1352	1.7343	1.7378	0.0728	4.8913	0.5151	4.6893	0.0728	1.0943	0.0728	4.5479	0.4122	0.3199	4.0695	0.1584	1.3474	6.7610	5.1129	2.1447	0.3033	0.1151	2.0382	0.2333	0.0728	0.2953	7.7058	1.3155	0.2162	0.9677	3.8211	7.1240	0.0728	0.1654	0.1319	4.1990	0.5299	0.0728	8.3127	2.8434	0.5025	0.3114	0.6066	0.2622	1.3690	1.7322	0.0728	5.9492	0.0728	0.0728	0.0728	3.7234	4.2828	1.8903	5.8343	0.2471	0.0728	0.6253	0.2363	0.0728	0.7307	1.4852	3.2034	0.2046	0.1030	0.3787	1.8996	0.1030	3.0015	0.0947	0.2693	6.5141	1.0323
acetyl CoA	Lipid	Fatty Acid Metabolism	3.9406	2.1741	0.1598	0.1598	23.5474	0.1598	0.1598	0.2532	5.6563	4.0871	0.2363	0.1598	0.1598	0.7723	0.1598	1.0648	0.1598	1.0272	0.1598	5.3637	0.1598	0.4763	0.1598	0.2277	1.9193	1.0886	4.4943	0.1598	0.9124	0.7553	0.1598	0.5542	0.1598	0.1598	0.1598	0.1598	0.1598	4.4948	0.1598	0.1598	0.2612	0.1598	1.0940	0.1598	0.1598	0.1598	0.6800	0.5256	0.1598	0.1598	0.1598	0.1598	0.7374	0.1598	2.5169	0.1598	1.3948	0.1598	0.1598	1.0523	0.1598	0.1598	0.1598	15.3354	0.1598	0.1598	0.7961	0.1598	0.1598	0.1598	0.4414	0.1598	0.1598	1.7460	0.3228	0.4023	0.3624	0.1598	0.1598	1.0000	0.1598	0.1598	0.1598	1.0504	0.8749
acisoga	Amino Acid	Polyamine Metabolism	2.9973	0.2508	0.0599	0.3050	1.6206	0.2753	37.8256	0.4216	0.5011	1.9550	12.2639	23.3030	0.0599	0.5371	0.4233	1.2499	1.7096	0.3415	2.1465	8.5041	0.0599	8.3741	0.0599	0.8416	2.0146	3.4768	17.5143	0.1909	0.2333	0.2632	1.8778	0.3906	0.0599	0.0599	0.7594	2.3997	0.3791	0.3172	0.6687	0.0599	0.1535	7.7928	13.9998	29.6432	0.7513	0.0599	0.0599	0.4865	1.0485	0.0599	0.4369	7.7375	3.7749	0.6096	0.5336	0.0599	6.5413	0.1841	0.0599	3.4058	0.1139	0.0599	0.2035	3.3321	9.9254	5.2442	0.8324	0.2122	0.0599	1.0975	0.0599	0.0753	1.8734	0.9790	1.6326	0.0599	0.0850	0.0599	19.2855	0.0599	2.6410	0.0599	1.1106	0.4731	1.0000
aconitate [cis or trans]	Energy	TCA Cycle	1.4943	0.2578	0.1511	0.3897	6.0904	0.2484	0.0978	0.6082	2.6286	0.4334	35.5451	10.1412	0.2177	1.9050	1.5530	3.8896	1.0716	1.8699	0.2669	2.0031	0.0978	26.6014	0.6133	1.0160	1.2260	0.3224	1.9232	0.4860	0.2810	0.8125	1.6215	1.0000	0.5757	0.1265	0.4210	31.7278	0.4373	1.4095	0.6298	0.4882	0.8187	50.8224	30.2213	11.6009	0.7304	0.1063	0.3442	1.6734	0.2958	0.0978	0.5532	78.2965	2.3314	0.0978	3.1537	0.0978	11.1530	0.1825	0.2476	7.3198	0.2698	0.0978	0.1610	1.4736	4.7294	6.9542	2.5631	0.2538	0.2371	0.3964	1.2365	0.1124	3.6148	12.3301	0.2212	0.0978	0.0978	0.2174	194.4452	0.3610	2.6979	0.0978	2.3166	3.6850	0.5263
adenine	Nucleotide	Purine Metabolism, Adenine containing	1.8917	2.8228	0.6066	1.4424	2.6379	10.2998	4.2678	0.3352	1.4517	0.7750	1.9412	3.2278	0.2430	0.4074	1.0000	0.9807	0.1254	0.4584	5.5605	1.1112	0.1254	0.6167	0.8332	5.3199	0.7191	0.6043	8.8739	0.5211	1.9699	0.4403	1.1330	2.3846	0.9763	0.9303	0.9778	1.3860	1.5880	1.3947	0.4619	20.8254	0.2842	0.6835	0.6713	3.8106	2.4817	0.3586	0.4464	1.4895	3.8759	0.8633	2.7529	2.2717	1.9485	1.2258	0.4544	0.5056	1.9503	1.0541	0.1254	1.1741	1.3165	0.1254	2.3248	1.7982	10.3966	0.9962	0.5461	3.3327	0.1455	0.6025	0.4114	0.6703	2.9233	0.1445	3.6105	0.3473	0.1254	0.2259	19.9163	0.3968	2.0506	0.1415	0.1569	0.9657	0.2935
adenosine	Nucleotide	Purine Metabolism, Adenine containing	3.1857	1.6132	0.5601	0.8865	32.6635	1.2612	9.2221	0.3455	3.1289	0.6299	6.4874	7.5136	0.1889	0.7571	1.0000	1.2171	0.1517	1.0042	3.2193	2.5708	0.0944	0.4097	1.5262	0.9910	2.6161	0.7937	2.2840	1.2666	0.7551	0.9064	0.8687	2.0106	1.0010	1.1894	0.7038	0.4422	3.5083	2.1197	3.4541	0.6894	0.6007	0.4564	0.6610	8.3676	2.9860	0.6777	1.0025	0.8112	4.8015	0.8939	1.7090	0.5510	11.2470	2.2094	1.5013	0.8418	0.4881	1.6911	0.0944	1.8300	1.4379	0.2844	0.8037	22.0530	0.0944	0.5629	0.9594	1.9925	0.1376	0.9999	0.9928	0.3534	0.4013	0.7571	1.4945	0.3773	0.1786	0.3301	2.1105	1.6791	5.1331	0.0944	0.0944	1.7117	0.8746
adipate (C6-DC)	Lipid	Fatty Acid, Dicarboxylate	14.5386	0.5276	0.4927	0.6462	1.2378	0.2757	10.7452	1.7614	1.4114	0.2219	12.3555	2.8508	0.1962	37.6065	0.8927	0.8844	13.0236	0.6201	6.1516	2.3778	0.1962	0.7696	1.0000	1.2551	1.0113	0.2802	1.8539	1.6809	0.6931	0.4075	0.7745	1.6983	0.4532	0.6293	1.8215	0.4136	3.9681	1.9865	1.9146	0.7632	1.1441	1.8737	1.4150	3.4796	8.0954	0.3887	0.2430	1.1578	7.6412	0.1962	0.4207	1.0429	191.8748	4.3773	0.9436	0.6947	1.5322	0.6197	0.1962	1.7427	1.1067	0.2049	0.4223	3.1008	3.9798	0.4686	0.9467	4.1223	0.3814	0.5482	1.0024	1.6967	0.4717	0.6276	0.5141	0.3823	0.4210	0.6086	9.6998	0.4476	0.7278	0.1962	0.4001	1.1496	0.7817
agmatine	Amino Acid	Polyamine Metabolism	0.1521	0.1521	0.1521	0.1521	0.1668	0.1521	1.2529	0.1750	0.1521	0.1521	2.9979	4.3503	0.1521	2.1960	0.1521	0.1521	0.7561	0.1521	0.1521	0.6762	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	214.2322	0.1521	0.1521	0.1521	0.6859	0.1521	0.1521	0.1521	0.7701	0.1521	0.1521	0.1521	0.1521	0.6372	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	1.2894	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	2.8386	1.2299	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521	0.1521
alanine	Amino Acid	Alanine and Aspartate Metabolism	1.1283	0.4868	0.3678	0.8410	2.6922	0.2932	14.6951	3.1273	4.0059	0.6429	3.2035	15.0170	0.0174	7.4283	1.4263	1.7201	16.4706	1.8107	1.9075	5.1789	0.0050	1.4410	0.1325	1.2163	1.3161	0.1343	2.7657	0.7848	0.7280	0.4198	6.6964	1.4753	0.5668	0.3058	1.5767	0.0238	2.2681	2.3086	0.4681	0.3817	1.0565	3.1817	1.6790	4.2500	0.7584	0.3265	0.9365	2.3443	1.0000	0.0170	0.6793	0.1030	2.4331	1.6834	2.2488	0.2572	0.8066	0.6334	0.0050	2.2455	1.2857	0.0370	0.0595	1.9564	6.3557	0.3897	0.8033	0.5054	0.0813	0.0109	0.8096	0.0959	0.2178	2.1432	0.2791	0.0050	0.0393	2.6773	1.2824	0.5845	1.2033	0.0095	0.4012	2.1591	1.0036
alanylleucine	Peptide	Dipeptide	0.1159	0.1159	0.1159	0.3265	0.5577	0.1159	6.2762	13.5299	0.4101	0.1159	3.2694	10.3996	0.1159	1.6398	0.8996	0.6335	14.2694	0.6234	5.1941	0.7920	0.1159	1.1190	0.1159	4.0808	3.5638	0.1159	0.3991	1.2241	0.1159	0.1159	31.9099	0.1159	0.1321	0.1159	14.9010	0.1159	0.1159	0.1159	1.0000	0.1159	0.1159	2.1800	1.0346	5.7705	1.5823	0.1159	0.1159	1.9311	0.1159	0.1159	0.1159	0.1159	0.6373	0.3290	1.6946	0.1159	0.1159	0.1159	0.1159	0.9502	0.1159	0.1159	0.1159	0.2257	18.4112	0.1159	0.7198	0.1277	0.1159	0.1159	0.1159	0.1159	0.1159	0.3871	0.1159	0.1159	0.1159	0.1159	0.5983	0.1159	0.7564	0.1159	0.1159	0.2344	0.1159
allantoin	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	2.0849	0.0819	0.0819	0.0819	1.5862	0.0819	80.5418	0.7813	0.3696	0.2174	10.1503	10.5103	0.0819	0.2878	0.0819	0.3624	0.7277	0.3417	0.2553	1.1216	0.0819	1.6393	0.0819	1.0000	0.3736	0.1268	3.6495	0.0819	0.0819	0.0819	4.4714	0.3913	0.0819	0.0819	0.1166	4.3028	0.0855	0.0819	3.1090	0.4283	0.0819	4.0126	2.8903	10.7038	0.0819	0.0819	0.0819	0.1149	0.1942	0.0819	0.1564	1.7080	1.9364	0.2446	0.1873	0.0819	2.5641	0.0819	0.0819	2.0829	0.0819	0.0819	0.0819	1.3185	2.4879	1.8351	1.6061	0.0819	0.0819	6.7758	0.0819	0.0977	1.3701	0.6959	0.0819	0.0819	0.0819	0.0819	10.5465	0.0819	0.4147	0.0819	0.2385	0.2351	0.0819
allo-threonine	Amino Acid	Glycine, Serine and Threonine Metabolism	0.3568	0.2608	0.2608	0.9769	3.5976	0.5075	20.0960	0.8102	0.3389	0.2608	1.0004	2.9964	0.2608	0.2608	0.3708	0.4334	6.2352	0.2608	0.7069	1.2201	0.2608	1.4886	0.2608	0.2608	0.5669	0.2608	1.8722	1.0708	0.2608	0.2608	0.2608	1.8078	0.2608	0.2608	1.2741	0.2608	0.6499	0.7513	0.5195	0.2608	1.8698	1.2857	0.2608	6.9800	1.2143	0.2608	0.4669	0.9996	1.2804	0.2608	0.2608	0.2608	2.6573	1.2015	0.9738	0.2608	0.2608	0.2608	0.2608	0.2608	0.9275	0.2608	0.2608	2.4248	27.6126	0.2608	0.4028	0.2608	0.2608	0.2608	0.2608	0.2608	0.2608	0.2608	0.4384	0.2608	0.2608	0.5746	1.6792	0.2901	0.5641	0.2608	0.2608	1.0037	0.2608
alpha-CEHC sulfate	Cofactors and Vitamins	Tocopherol Metabolism	0.2244	0.2244	0.2244	11.3038	0.4241	0.2244	3.9421	0.2244	0.2244	0.2244	0.2244	3.6554	0.2244	0.2244	0.2244	0.2244	188.4631	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2759	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	1.0000	0.2244	0.2244	0.2244	0.6954	0.2244	0.2244	0.2244	0.2244	2.6478	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	2.5417	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244	0.3673	0.2244	0.2244	0.2244	0.2244	0.5589	0.2244	0.2244	0.2244	0.2244	0.2244	0.2244
alpha-hydroxycaproate	Lipid	Fatty Acid, Monohydroxy	0.4382	0.4382	0.4382	0.4382	3.4662	1.3174	8.9889	0.4382	1.4581	0.4382	0.9705	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382	2.3779	1.4192	0.4382	1.0478	0.4382	0.8271	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382	1.0435	1.9961	0.4382	0.7548	1.1578	0.4382	0.4382	0.4382	0.8052	0.4382	0.4382	0.6356	0.4382	1.4449	0.4382	0.4382	0.4382	0.6781	0.5548	0.9670	0.4382	0.4382	0.4382	0.4382	1.0000	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382	0.5105	0.4382	0.4382	0.4382	0.8252	1.1240	0.4382	0.4382	0.6671	0.4382	0.4382	1.2170	1.4194	0.6007	0.4382	0.8774	0.4382	0.4382	0.4382	0.4382	0.4382	0.4382
alpha-hydroxyisocaproate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1.1776	0.4607	0.2701	0.2925	5.3506	0.5179	35.1979	4.0407	1.2139	0.1848	3.8163	24.6175	0.0800	46.5980	1.0000	2.2155	122.8182	1.6460	1.1649	20.2141	0.0420	0.8200	0.0420	2.3347	17.5544	0.0420	2.0541	0.9875	0.2010	0.1025	7.8547	0.8974	1.3720	0.1848	4.2504	0.0857	1.0686	1.2812	0.4550	1.9511	1.6792	2.5786	3.2486	24.5316	0.4394	0.2818	0.2641	1.3726	0.7429	0.0449	0.1106	0.1065	1.7100	1.0300	1.4578	0.3991	0.3422	1.0431	0.0420	4.0999	0.6151	0.0517	0.0974	5.6243	81.6707	0.0898	2.8749	0.3569	0.0420	0.0506	0.4222	0.0420	0.0420	1.4792	0.2252	0.0800	0.0730	2.6488	0.8200	0.0716	0.6051	0.0420	0.0420	4.7515	0.6688
alpha-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.6070	0.7370	0.8261	0.3552	5.3803	0.2931	31.7649	2.3170	1.3219	0.3526	3.7757	31.8273	0.1058	43.5455	2.1916	8.2342	67.6063	4.3154	1.2856	45.4137	0.1189	0.8191	0.1769	1.9006	7.6160	0.0725	3.2247	0.9934	0.2246	0.2545	2.3785	0.8844	1.8516	0.7192	3.4716	0.2433	1.7798	1.7327	0.6625	2.7882	2.4092	3.2092	5.1545	24.4873	1.2825	0.5399	0.4077	1.3930	1.3120	0.1272	0.2075	0.2599	0.7042	1.0474	1.4093	0.6338	0.9327	2.4543	0.0836	4.7193	0.5421	0.2901	0.6656	6.5215	85.1654	0.3203	1.7146	0.6290	0.2209	0.2476	1.1589	0.2466	0.1608	4.7708	0.3526	0.2093	0.2090	7.0728	0.7853	0.1214	1.0066	0.0725	0.1291	5.8003	1.2284
alpha-ketobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	0.2614	0.2614	0.2614	0.2614	1.0000	0.2614	4.6145	0.2614	0.2614	0.2614	3.1951	15.2476	0.2614	1.3743	0.2614	0.2614	0.2614	0.2614	0.2614	1.1490	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	2.6275	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.4816	0.2614	0.2614	0.2898	0.2614	0.2744	0.2614	0.2614	0.2614	0.2614	1.5799	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.2614	0.5803	0.2614	0.2614	0.2614	0.2614	0.8129	0.2614	0.2614	0.2614	0.2614	0.6144	0.2614
alpha-ketoglutaramate**	Amino Acid	Glutamate Metabolism	2.1067	0.0992	0.0485	0.7537	6.6417	0.0485	67.6437	1.2341	1.8061	0.1651	25.8112	7.2333	0.0485	2.2184	0.3815	1.0000	2.4816	0.8310	1.7251	0.3840	0.0485	7.2686	0.1109	0.7660	0.7352	0.0485	4.5905	0.4338	0.1841	0.0485	1.6046	1.4393	0.0485	0.1616	0.9300	0.8229	2.0077	1.5887	0.3389	0.2687	0.3277	5.7805	3.9766	7.0253	0.5383	0.2001	0.2923	1.3777	1.3193	0.0485	0.0971	1.2345	5.3681	2.1517	1.4285	0.1531	2.7237	0.2021	0.0485	1.7487	0.9731	0.0485	0.0485	3.0378	3.2539	6.3172	1.2008	0.2147	0.0485	0.0485	0.3112	0.4635	0.4548	1.1129	0.1928	0.0485	0.0485	0.5937	15.6916	0.0755	0.8938	0.0485	0.0485	1.1178	0.5860
alpha-ketoglutarate	Energy	TCA Cycle	7.7672	0.3631	0.0133	0.9624	26.8351	0.1871	34.2323	2.6891	15.6950	0.9955	71.2143	11.5224	0.0133	3.8135	2.0052	4.7964	0.7158	3.0453	1.1058	9.3240	0.0133	7.1571	0.0976	1.1245	8.8154	0.0718	14.0041	1.1616	0.7693	0.4857	20.5679	10.1836	0.0733	0.1795	0.8184	0.1148	1.6424	8.4403	1.2267	0.7456	0.8494	5.7011	14.6057	3.3104	0.5020	0.2133	0.4859	16.2346	2.2140	0.0582	0.3054	1.0045	4.4871	4.5470	11.6198	0.3117	3.0872	0.2391	0.0133	8.0787	0.5172	0.0133	0.0176	52.5562	0.6121	0.9271	7.9966	0.3957	0.0133	0.0330	0.1902	0.1159	0.4154	6.6385	0.1147	0.0377	0.0174	0.3042	28.8016	0.1442	0.4812	0.0133	0.0133	34.8494	0.6943
alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	0.1223	0.3055	0.3806	299.1006	75.6796	0.1223	21.7785	3.6282	0.3824	0.2246	15.6092	18.6868	35.7099	0.3575	3.0845	0.1223	62.7102	0.1223	29.6122	1.6507	0.1223	0.1867	0.8214	1.9515	0.2098	0.5032	0.1223	1.0887	5.7345	0.1223	0.2753	1.2584	0.3761	0.1223	0.1799	0.3326	7.7065	160.6058	10.1887	0.1223	1.0000	4.4874	0.2703	14.2551	44.8348	0.9823	1.3697	6.1810	14.1325	0.4073	0.1223	0.1223	92.5783	26.3233	17.5420	0.7367	0.4052	1.5681	0.2006	0.8919	1.7225	0.4408	0.2972	0.3889	10.1870	0.4153	0.1223	6.8682	0.6062	0.3682	1.2351	11.4386	0.4588	4.5904	0.5998	0.1223	0.2525	0.8702	0.4779	1.0000	1.1467	0.2241	0.2527	0.2337	3.5476
alpha-tocopherol acetate	Cofactors and Vitamins	Tocopherol Metabolism	0.1663	0.1663	0.1663	55.5414	58.0162	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	5.2254	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	2.6045	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	103.4316	0.1663	0.1663	0.1663	1.2948	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.3284	0.1663	0.1663	0.1663	0.4902	0.1663	0.1663	0.1663	0.1663	0.1663	0.7052	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.4872	0.1663	1.6647	0.2274	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.1663	0.5346
adenosine 5'-monophosphate (AMP)	Nucleotide	Purine Metabolism, Adenine containing	1.6265	1.0041	0.2459	0.2459	15.3779	0.2459	0.6234	0.6725	3.3165	1.4922	1.6718	0.2459	0.2459	1.3045	0.7769	0.9959	0.2459	0.7856	0.2459	3.7728	0.2459	0.2459	0.5970	1.7862	3.0626	0.4691	4.0296	0.4032	0.3626	1.0237	0.5313	3.6269	0.3535	0.5905	0.5068	0.2459	1.3423	2.2582	0.7935	0.7568	0.2459	0.3945	1.5735	1.2807	1.4627	0.2459	0.3258	1.6753	0.3487	0.2459	1.0184	0.2459	4.8827	1.5702	1.6543	0.2459	0.9057	0.8382	0.2459	2.0755	0.7039	0.2459	0.2459	12.6584	0.2459	0.2459	0.9548	0.2459	0.2459	0.2459	0.7080	0.2459	0.2459	1.1154	0.5920	0.2459	0.2459	0.3207	0.2459	0.6534	3.6901	0.2459	0.2459	1.7864	0.7376
androstenediol (3alpha, 17alpha) monosulfate (2)	Lipid	Androgenic Steroids	0.3300	0.3300	0.3300	0.3300	0.6485	0.3300	1.4982	0.3300	0.3300	0.3300	5.2994	1.3919	0.3300	1.3070	0.3300	0.3300	2.9220	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.7040	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.6052	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	6.9036	0.4132	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.6638	1.0000	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300	0.3300
androstenediol (3beta,17beta) disulfate (1)	Lipid	Androgenic Steroids	0.1507	0.1507	0.1507	0.1507	3.8543	0.5659	14.6557	0.3890	0.2012	0.1507	2.3499	27.7166	0.1507	0.1507	1.7988	0.1507	58.6566	0.1507	0.1507	0.1820	0.1507	0.1507	0.1507	1.0119	3.9698	0.1507	0.3091	0.2133	0.1557	0.1507	3.1477	0.1836	0.1507	0.6064	6.9927	0.1507	1.4216	0.1863	1.0000	0.1507	0.1507	0.4286	2.2133	4.6563	4.9927	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.1559	0.1507	0.1507	0.7722	0.1507	0.4394	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	19.6293	0.1507	0.1507	1.0890	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507	0.3693	0.1507	0.1507	0.1507	0.1507	0.1507	0.1507
androstenediol (3beta,17beta) disulfate (2)	Lipid	Androgenic Steroids	0.2811	0.1684	0.1684	0.1684	0.9333	0.1684	34.6602	0.1684	0.1684	0.1684	4.3544	49.7333	0.1684	0.1684	1.0453	0.1684	93.8672	0.1684	0.1684	0.2521	0.1684	0.1684	0.1684	0.2881	1.1714	0.1684	0.2661	0.1684	0.2909	0.1684	4.3366	0.1934	0.1684	0.1684	2.7793	0.1684	1.4642	0.1684	2.6284	0.1684	0.1684	0.1684	1.3976	11.6462	8.7489	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.9062	0.1684	0.2729	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	38.1467	0.1684	0.1684	0.9547	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.1684	0.6639	0.1684	0.2613	0.1684	0.1684	0.5182	0.1684
androstenediol (3beta,17beta) monosulfate (1)	Lipid	Androgenic Steroids	0.1360	0.1360	0.1360	0.1360	0.3607	0.1360	6.4515	5.6332	0.1360	0.1360	0.1360	14.0696	0.2699	0.1360	1.1109	0.1360	26.3959	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	1.1551	6.6839	0.1360	0.1360	0.1854	0.8006	0.7476	0.7247	0.1360	0.1360	0.8507	2.7219	0.1360	0.1360	0.1360	5.6301	0.1360	0.1360	0.1360	0.1360	0.1360	0.8891	0.1360	0.1360	0.1360	0.1360	0.4491	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.3846	4.0510	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	0.1360	1.6679	0.1360	0.1360	0.1360	0.1360
androsterone sulfate	Lipid	Androgenic Steroids	0.2778	0.2778	0.2778	0.2778	1.3452	0.2778	1.4526	1.1894	0.2778	0.2778	0.9035	0.4691	0.2778	0.2778	0.2778	0.2778	3.2138	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.3116	0.2778	0.2778	0.4135	1.1198	0.2778	0.2778	0.2778	0.3164	0.2778	0.2778	0.2778	0.2778	0.2778	0.6872	0.2778	0.2778	1.0965	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	2.8557	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778	0.2778
anserine	Amino Acid	Histidine Metabolism	0.8374	0.8506	0.5989	1.0113	0.7652	0.8218	31.0701	1.8014	1.1179	1.0000	4.2624	0.5890	0.5590	0.7573	1.1332	0.9922	21.6389	1.1931	1.5047	2.5839	0.6967	1.4844	1.0675	1.4689	1.2649	0.7283	2.4422	1.0336	0.9126	0.7449	1.9254	2.2834	0.9182	0.6945	1.8140	1.3834	1.5750	0.9325	8.5443	0.7709	0.8311	2.4833	2.0337	19.9343	4.2773	0.6601	0.7075	2.3167	1.9456	0.7727	0.8153	1.3681	27.8647	5.0745	2.8518	0.5851	1.4087	0.7249	0.6167	2.9292	1.4227	0.6760	0.7543	1.6743	76.6030	0.8247	0.5947	0.9702	0.7819	0.6371	0.7137	0.9131	1.2091	4.7167	0.7262	0.6367	0.6740	0.6337	5.4214	0.6488	1.1198	0.6829	0.8344	2.0210	0.8889
